Designator,Footprint,Quantity,Value,LCSC Part #
"C_1V-DECOUP1, C_3V-DECOUP2, C_LD1, C_LD2",0402,4,1u,
"C_1V-DECOUP2, C_1V-DECOUP3, C_3V-DECOUP3, C_3V-DECOUP4, C_3V-DECOUP5, C_3V-DECOUP6, C_3V-DECOUP7, C_3V-DECOUP8, C_3V-DECOUP9, C_FLASH1",0402,10,100n,
C_3V-DECOUP1,0402,1,10u,
"C_CRYSTAL1, C_CRYSTAL2",0402,2,22p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D5, D6, D7, D8, D9",D_SOD-123,37,1N4148W,
"ENC1, ENC2",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB(LF)(SN),C160404
J4,PinHeader_1x03_P2.54mm_Vertical,1,LED_STRIP,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX29, MX3, MX30, MX31, MX34, MX35, MX36, MX37, MX4, MX5, MX6, MX7, MX8, MX9",SW_Hybrid_Cherry_MX_Alps_1.00u,33,MX-NoLED,
"MX20, MX28",SW_Hybrid_Cherry_MX_Alps_1.50u,2,MX-NoLED,
"MX32, MX33",SW_Hybrid_Cherry_MX_Alps_2.00u,2,MX-NoLED,
"R_CRYSTAL1, R_FLASH3",0402,2,1k,
"R_DATA1, R_DATA2",0402,2,27,
"R_FLASH1, R_FLASH2, R_RST1",0402,3,5k1,
"S1, S2",STAB_MX_2u,2,MX_stab,
SW1,SW_SPST_TL3342,1,RESET,C318884
SW2,SW_SPST_TL3342,1,BOOTSEL,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C2613930
U3,SOT-23,1,XC6206P332MR,C5446
U4,SOT-563,1,SN74LVC1T45DRL,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
