Designator,Mid X,Mid Y,Rotation,Layer
C_1V-DECOUP1,87.39,5.84,0.0,bottom
C_1V-DECOUP2,106.858504,18.157015,135.0,bottom
C_1V-DECOUP3,96.594305,17.203662,45.0,bottom
C_3V-DECOUP1,94.068611,14.677968,45.0,bottom
C_3V-DECOUP2,95.752407,16.361764,45.0,bottom
C_3V-DECOUP3,105.072568,19.942951,135.0,bottom
C_3V-DECOUP4,105.38,4.28,180.0,bottom
C_3V-DECOUP5,104.714527,9.08344,225.0,bottom
C_3V-DECOUP6,89.37,5.41,0.0,bottom
C_3V-DECOUP7,94.910509,15.519866,45.0,bottom
C_3V-DECOUP8,91.678048,11.608583,0.0,bottom
C_3V-DECOUP9,105.965536,19.049983,135.0,bottom
C_CRYSTAL1,93.47,4.6,180.0,bottom
C_CRYSTAL2,91.082737,2.083591,90.0,bottom
C_FLASH1,111.025688,23.812479,180.0,bottom
C_LD1,71.988219,41.981215,0.0,bottom
C_LD2,75.719937,39.290591,0.0,bottom
D1,12.501552,65.781976,90.0,bottom
D10,183.951408,65.781976,90.0,bottom
D11,12.501552,46.731994,90.0,bottom
D12,31.551536,46.731993,90.0,bottom
D13,50.60152,46.731993,90.0,bottom
D14,69.651504,46.731993,90.0,bottom
D15,88.701488,46.731993,90.0,bottom
D16,107.751472,46.731992,90.0,bottom
D17,126.801456,46.731992,90.0,bottom
D18,145.851439,46.731993,90.0,bottom
D19,183.951408,46.731993,90.0,bottom
D2,31.551536,65.781976,90.0,bottom
D20,12.501552,27.682009,90.0,bottom
D21,50.60152,27.682008,90.0,bottom
D22,69.651503,27.682007,90.0,bottom
D23,88.701488,27.682007,90.0,bottom
D24,107.751472,27.682007,90.0,bottom
D25,126.801456,27.682007,90.0,bottom
D26,145.85144,27.682007,90.0,bottom
D27,164.901424,27.682007,90.0,bottom
D28,183.951408,27.682009,90.0,bottom
D29,12.501552,8.632023,90.0,bottom
D3,50.60152,65.781976,90.0,bottom
D30,31.551536,8.632023,90.0,bottom
D31,50.60152,8.632023,90.0,bottom
D32,79.176496,8.632023,90.0,bottom
D33,117.276464,8.632023,90.0,bottom
D34,145.85144,8.632023,90.0,bottom
D35,164.901424,8.632023,90.0,bottom
D36,183.951408,8.632023,90.0,bottom
D37,164.901424,46.731993,90.0,bottom
D38,31.551536,27.682008,90.0,bottom
D4,69.651504,65.781975,90.0,bottom
D5,88.701488,65.781975,90.0,bottom
D6,107.751472,65.781975,90.0,bottom
D7,126.801456,65.781976,90.0,bottom
D8,145.85144,65.781976,90.0,bottom
D9,164.901424,65.781976,90.0,bottom
ENC1,47.62496,9.274992,0.0,top
ENC2,142.874879,9.274992,0.0,top
J1,80.962432,40.481215,270.0,bottom
J2,1.785936,28.569975,0.0,bottom
J3,96.40875,73.81875,90.0,top
J4,188.11875,59.53125,0.0,top
MX1,9.524992,68.839934,0.0,top
MX10,180.974849,68.839934,0.0,top
MX11,9.524992,49.789952,0.0,top
MX12,28.574976,49.789951,0.0,top
MX13,47.62496,49.789951,0.0,top
MX14,66.674944,49.789952,0.0,top
MX15,85.724928,49.789952,0.0,top
MX16,104.774911,49.789951,0.0,top
MX17,123.824896,49.789951,0.0,top
MX18,142.87488,49.789951,0.0,top
MX19,180.974848,49.789951,0.0,top
MX2,28.574976,68.839934,0.0,top
MX20,9.524992,30.739967,0.0,top
MX21,47.62496,30.739967,0.0,top
MX22,66.674944,30.739966,0.0,top
MX23,85.724928,30.739966,0.0,top
MX24,104.774912,30.739966,0.0,top
MX25,123.824896,30.739967,0.0,top
MX26,142.87488,30.739967,0.0,top
MX27,161.924864,30.739967,0.0,top
MX28,180.974848,30.739967,0.0,top
MX29,9.524992,11.689983,0.0,top
MX3,47.624959,68.839934,0.0,top
MX30,28.574976,11.689983,0.0,top
MX31,47.62496,11.689983,0.0,top
MX32,76.199936,11.689983,0.0,top
MX33,114.299904,11.689983,0.0,top
MX34,142.874879,11.689983,0.0,top
MX35,161.924864,11.689983,0.0,top
MX36,180.974848,11.689983,0.0,top
MX37,161.924864,49.789951,0.0,top
MX38,28.574976,30.739967,0.0,top
MX4,66.674943,68.839934,0.0,top
MX5,85.724928,68.839934,0.0,top
MX6,104.774912,68.839934,0.0,top
MX7,123.824896,68.839934,0.0,top
MX8,142.87488,68.839934,0.0,top
MX9,161.924864,68.839934,0.0,top
R_CRYSTAL1,91.44,5.01,180.0,bottom
R_DATA1,98.918228,19.444075,225.0,bottom
R_DATA2,98.22648,18.752328,225.0,bottom
R_FLASH1,113.10928,23.812479,180.0,bottom
R_FLASH2,115.490528,23.812479,180.0,bottom
R_FLASH3,117.57412,23.812479,180.0,bottom
R_RST1,1.785936,36.909344,90.0,bottom
SW1,64.293696,11.906239,180.0,bottom
SW2,126.206145,11.906239,180.0,bottom
U1,97.928824,8.929679,135.0,bottom
U2,114.299904,20.240608,270.0,bottom
U3,75.262436,41.981215,180.0,bottom
U4,183.35625,59.53125,180.0,bottom
Y1,93.76164,2.083591,180.0,bottom
